Sentence1,Sentence2
How can a host in Westworld do this?,Have guns in Westworld started operating differently?
,
"What is the significance of Black Widow saying ""You could at least recognize me"" to Bucky?",Why should Bucky know Black Widow specifically?
,
Why was she inside a glass room all the time?,Why is this character in a bubble?
,
How can Cobb use Mal's totem for a reality check,Why does Cobb use the spinning top?
,
Bruce Wayne's death in The Dark Knight Rises,"Couldn't people see Wayne was alive and link his disappearance to Batman's ""death""?"
,
"How was the scene of the mirror in ""Mr. Nobody"" recorded?",How do they film the mirror scenes in movies?
,
Why did Walter White decide to become a teacher after Gray Matter?,Why did Walt have to teach high school chemistry?
,
Why did Joe give cigars to Team Flash?,Significance of Joe giving cigars to the team in Flash S04E04
,
What sequence of cross overs to follow Flash s04e08 to Flash s04e09?,What is the order of the Crisis on Earth X episodes in the Arrowverse?
,
What do Empire / First order officers wear in front of chest?,What are these cartridges that many characters have in the Star Wars movies?
,
Why are Walter and Georgina servants of the Armitage family?,"Why is Georgina cleaning in ""Get Out""?"
,
Why can't the second MAV reach the Hermes?,Where did Mark Watney get the escape pod in The Martian?
,
Why didn't Harvey Specter send Mike Ross to get a law degree instead of hiring him immediately?,Why doesn't Mike Ross just get a law degree?
,
Flash S1 ep15 how does Flash return to his original timeline? Is it even possible?,What happened to the second Barry in Rogue Time?
,
Indian Movies have song where Actors Dance but hollywood movies don't,Why do Bollywood movies have song and dance sequences?
,
Why do TV Shows take mid-season breaks?,Why do broadcasters have a mid-season break in TV season?
,
How do TV shows/movie find unattractive actors?,How do filmmakers avoid offending actors when casting?
,
Why do some trailers contain scenes that aren't in the movie?,Why was this scene from the trailer not in the film?
,
Is the Golden Raspberry nomination the reason Katie Holmes didn't reprise her role?,Why didn't Katie Holmes play Rachel Dawes in The Dark Knight?
,
How are sliding shots of stills during an action sequence filmed?,"How are 3D still shots or ""time stop"" effects created?"
,
Purpose of Indian man concerning little boy in Lion,What was Ram planning to do with Saroo in Lion?
,
"What's in the box at the end of ""Wonder""?",What did Auggie's father give to his wife in the movie Wonder?
,
Why does John Ruth dislike the coffee?,How come the coffee initially tasted awful
,
Why doesn't Dr. Strange fight by opening portals in front of moving body parts and severing them,Why didn't Dr. Strange create a portal to cut off Thanos' hand?
,
On what basis were the characters selected?,Did Thanos pick them on purpose or was it random?
,
Why is Cage sent to the front?,Why was William Cage sent to the base?
,
Why didn't Dr.strange use the time stone when this event occurred?,Why didn't Doctor Strange use the Time Stone to prevent Thanos from claiming other Infinity Stones?
,
Two magician films released nearly the same time.. any connection?,Why are two such similar movies being made at the same time?
,
Would Thanos include himself in his plan?,Was Thanos really committed or just a hypocrite?
,
Does Mulholland Drive have a coherent storyline?,What is going on in Mulholland Drive?
,
Why wasn't Neo's monitor connected to anything?,Why does Neo's cubicle not look like the workplace of a programmer?
,
What was the point of Grigor Andolov's story at the end of s03e09 of Billions?,What did Andolov mean when he told a story to Axelrod about Christmas market in Moscow?
,
What was the first film to include a post-credits scene?,Which movie/tv started showing scenes after credit?
,
Has there ever been a sequel that has been scrapped and remade after release?,Has a movie from a movie series ever been removed/retconned due to fan/general outcry?
,
What is the name for this filming technique?,Is there a word or phrase for when the movie tricks you for a moment like this?
,
"Why did the accessories (clothings, masks, equipments, etc.) vanish along the person?",What happens to Bucky's arm at the end of Infinity War?
,
Why there are chains hanging from the book shelves in libraries,What is the purpose of the chains hanging from the shelves at the Citadel?
,
How did Harry Potter survive against the Dementors at the lake,How does Harry Potter save himself from the dementors?
,
How are children prepared when they have to swear,To what extent are child actors exposed to the violent aspects of the movie they perform in?
,
Why didn't Thor take Loki's staff with him?,Why didn't Thor take Loki's sceptre at the end of The Avengers?
,
Why didn't the Tesseract get transported with Red Skull?,What happened to Red Skull at the end of Captain America - The First Avenger?
,
Why did David kill someone he seemed to care for?,Do David's actions towards Elizabeth contradict his claims?
,
Was Thanos part of the possible 50% that he want to kill?,Was Thanos really committed or just a hypocrite?
,
"How truthful was Jean Valjean when he told Javert in the hospital ""In mercy's name, three days are all I need. Then I'll return, I pledge my word.""",Is Jean Valjean lying when he tells Javert that he will turn himself in after 3 days?
,
Why didn't they make Harry change into another person in the Battle of the Seven Potters?,Why didn't Harry himself drink Polyjuice Potion instead of all others in Deathly Hallows Part 1?
,
Who Collected all the stones before thanos did?,How did Odin know about the Infinity Gauntlet?
,
How do they film animal death scenes?,How do they make horses fall down in war movies?
,
Why are the Rebels still called rebels in the The Force Awakens and The Last Jedi?,Why does the First Order in “The Force Awakens� refer to the Resistance as “Rebels� when the Republic is reinstated?
,
"Who has the better claim to the Iron Throne, Gendry or Jon Snow?",Who amongst the living Targaryens should be the ruler of Westeros?
,
What species are Mar Vell and Yon Rogg?,Why do some Kree have white skin?
,
Why was Jesse angry with Walter in the last few episodes when he was getting picked to be relocated in Alaska?,Why does Jesse try to burn down Walt's house despite the tox screen revealing no ricin poisoning
,
Why did Fury and Hill dissapear so quickly?,"What was happening in Wakanda in the ""end credit"" scene of Avengers: Infinity War?"
,
"In Game of Thrones, does wearing someone's face change the wearer's body as well?",Do the Faceless Men take more than just a face?
,
What did Nebula do in Avengers: Endgame?,Is there a grandfather paradox in Endgame?
,
How is Hawkeye able to withstand this thing?,How can Infinity Stones be handled by humans but almost killed Peter Quill?
,
"Does the wielder of the Gauntlet actually need to snap, or is the snap action simply dramatic?","How did Thanos know about the power of ""The Snap""?"
,
"Given what happened in S08E03, is the Azor Ahai prophecy a false prophecy?",Did this character even qualify for being Azor Ahai or The One Who Was Promised?
,
How does Captain America return the stones when some of them are not even in their original forms?,"How could they return the Infinity Stones in their ""raw"" form?"
,
how did these things end in their climactic location?,How did this person gain possession of the Infinity Stones?
,
"So, is getting a new(past) Tony Stark the most dangerous thing they could ever do?",Why can't the Avengers go back in time and bring an earlier self of the deceased?
,
Avengers: Infinity War and End Game question,"Does the wielder of the Gauntlet actually need to snap, or is the snap action simply dramatic?"
,
How did Dr. Strange bring everybody back without the Time Stone?,How did Doctor Strange & Team do this?
,
Why did the Crown allow giving Highgarden to Bronn?,Did Tyrion even have the authority to do this?
,
"If all Infinity Stones have a power, what is the Soul Stone's power and aren't the Mind and Soul Stone the same thing?",What does the Soul Stone actually do?
,
How did Will Byers know where the letters were on the wall in Stranger Things?,How was Will aware of the lights?
,
"How would someone ""escape"" a black hole?",How does Cooper get out of the black hole?
,
"What is the relevance of ""Hands Across America"" in Us?",Why did the Tethered form a line in Us?
,
Why is a TV station scrambling dirty words when it created the series themselves?,Why does The Magicians include so much un-airable dialogue?
,
Does the little boy Brock know who poisoned him?,How did Walter White poison that character?
,
How did Malcolm Crowe not realize something was way off?,Why isn't Bruce Willis's character in the Sixth Sense self-aware?
,
Are movies shot in higher resolution than the planned broadcasting?,What's usually the effective visual resolution of typical Hollywood Movies?
,
What film has been remade the most?,What is the most remade movie story?
,
"Why did ""Curb"" change from being shot on video to being shot on film?","What are the artistic reasons to shoot ""Curb Your Enthusiasm"" in a higher frame rate?"
,
How did the information from the black hole do this?,What do Murph and NASA do to save humanity after solving Brand's equation?
,
Why are the doctors always calling each other by their last names?,Why do the main characters call each other by their last name only?
,
Was it justified what happened to Mr. Park?,Why did Kim do this in Parasite (2019)?
,
Why doesn't anyone realize the honor guard at Commissioner Loeb's funeral procession is full of the Joker's men?,Why does no one notice the Joker's presence as a policeman during the mayor's speech?
,
How are harmless but potentially painful or undesirable scenes shot in medical TV shows?,How are surgery scenes shot in TV/Film?
,
What was the first US TV-series in which the main cast were mostly african american?,First appearance of a predominately black cast in a TV show
,
What did Anna tell Mademoiselle at the end of the Martyrs (2008)?,Everything about a very disturbing movie Martyrs (2008)
,
Why were the Avengers fighting each other?,What lead to the fights between Iron Man and Captain America in Captain America: Civil War?
,
Is it really possible to put a virus in a machine you don't know?,How does earth based technology interact with alien technology
,
"Do Indian movies screened outside India, have intervals as well?",Do film industries outside India use intervals/Intermission?
,
Why do TV and movie opening credits single out some cast members by displaying the character's name as well as that of the actors?,Why do some actors in credits appear as - Character (As Actor)
,
Movie about robots from mid to early 2000's,Hero who is against enhancements but has some himself
,
"What did the Origami Chicken and the Matchstick Man represent in ""Blade Runner""?",What does the origami represent in Blade Runner?
,
How realistic is the use of red yarn hub and spokes in crime television shows,What is the point of the Red Thread/Tape around evidence or newspaper clippings?
,
Why is Punisher wearing a white prison suit in Daredevil S02?,What was with the two different colored prison uniforms in Daredevil season 2?
,
Who of these characters has a more legitimate claim on the Iron Throne?,Who amongst the living Targaryens should be the ruler of Westeros?
,
Why did Hugh Jackman leave the X-Men franchise?,"Is ""Logan"" the last movie with Hugh Jackman as Wolverine?"
,
Why do older films and television shows seem to have higher contrast?,Why do some movies originally shot on film have notably vivid reds and skin tones?
,
Where do the Night King and his army get the tools and weapons from?,How did the Wights get the chain for doing this?
,
How is the night king not at the wall yet?,Why is the Night King so slow?
,
How does the Oscar jury know whether a director has done a good job?,How are the best director award winners chosen?
,
Why did Littlefinger not ask for evidence in trial?,How could the Starks convince the other Lords that this character was guilty?
,
How was this shot in Contact (1997) really made?,How do they film the mirror scenes in movies?
,
Why did Hattori Hanzo break his oath?,What did Bill do to make Hanzo mad?
,
Time freezes and actors and things can be viewed from different angles. What is this special effect called and how is it made?,"How are 3D still shots or ""time stop"" effects created?"
,
Why is it always raining in Blade Runner universe (Los Angeles)?,Why are both Blade Runner films largely shot in darkness?
,
What's up with Bob Taylor in Prisoners (2013)?,What happened to Bob and what is his relation to the plot?
,
Why does the Resistance not work with Wallace?,Why do K (and others) oppose Wallace?
,
Why is Professor Snape so against Harry Potter when he is supposedly protecting him?,Why did Severus Snape present himself as evil to Harry?
,
How can Neo use his powers outside of the matrix?,Why did Neo have powers in the real world?
,
Which X-Men movies' timelines were erased by Days of Future Past?,Where do the timelines of X-Men: The Last Stand and X-Men: Days of Future Past lie exactly?
,
How did Sherlock narrow his questioning to four women in The Sign of Three?,"What was the connection between the Mayfly Man, Tessa and the other women?"
,
What is the significance of different color uniforms in Star Trek reboot series?,Is there any rationale for the different colours of uniforms on the different series of Star Trek?
,
Why is Matt Damon's name not mentioned in Thor Ragnarok credits?,Why are some actors uncredited in certain films?
,
"How does there exist more than one face of the same person in Braavos, Game of Thrones?","If ""No One"" uses a face from the Hall of Faces to become someone then how did he do this"
,
Why does Jesse try to burn down Walt's house despite the tox screen revealing no ricin poisoning,How does Jesse connect the dots in S05E11?
,
"What were the Dementors doing to Harry and what exactly is the ""Dementor's Kiss""?",Why did a Dementor try to take Harry's soul in the train?
,
Prometheus to Alien: Who is on the crashed spaceship in Alien?,How to explain the discrepancies between the end of Prometheus and the beginning of Alien?
,
Why have the home releases of the recent Star Wars films been in March?,How do they decide Blu-ray/DVD release date?
,
Why are the crew members of the Covenant less vigilant than those of the Prometheus?,Why don't the colonists wear spacesuits in Alien: Covenant?
,
What is in Sheldon's room on his wall?,Big Bang Theory prop on Sheldon's bedroom wall
,
Where does War of the planet of the apes (2017) stand in the chronology?,In what order should I watch The planet of the Apes franchise?
,
How accurate is the O.J. Simpson trial series?,How accurate is American Crime Story: OJ Simpson?
,
Why was this character in Avengers: Infinity War in Vormir?,What happened to Red Skull at the end of Captain America - The First Avenger?
,
"In Westworld, what powers the hosts? Do they need a ""recharge"" every now and then?",What exactly is the physiology of hosts in the Westworld TV series?
,
Was there a chance that Thanos would die too?,Was Thanos really committed or just a hypocrite?
,
What is the incident Black Widow and Hawkeye are talking about?,"In MCU, Hawkeye and Black Widow talked about Budapest. What really happened in Budapest?"
,
Thanos' 'situation' at the end of Infinity War,Was Thanos really committed or just a hypocrite?
,
Why was the Wakandan attack so weak?,Where were the cannons in final fight in Wakanda in Infinity War?
,
How does Deadpool 2 fit in the X-Men timeline!,Where does Deadpool fall in the X-Men timeline?
,
how does situation of two studios releasing similar movies occur?,Why are two such similar movies being made at the same time?
,
Why don't aliens win in most movies?,"Why are films where the bad guy ""wins"" at the end so rare?"
,
What is the process for screening a movie today?,How are digital movies sent to a movie theater?
,
Why doesn't Scarlet Witch's power also destroy the other stones?,How can the Scarlet Witch break the Mind Stone?
,
Why were Kevin Kline and Ben Stiller not credited in Orange County?,Why are some actors uncredited in certain films?
,
What happened to those who killed Michael's wife?,Did Michael Corleone ever get revenge against those who killed his wife?
,
Was Thanos's life also at stake when the snap happened?,Was Thanos really committed or just a hypocrite?
,
Is Thanos the *only* survivor of the collapse of Titan?,Is Thanos the only survivor of his planet?
,
How does Captain America know who killed Tony Stark’s parents?,How does Captain America know about Iron Man's parents' fate?
,
Why were the trailers so different to the final film?,Why was this scene from the trailer not in the film?
,
Why vision lift Thor's hammer in avengers?,How does Vision lift Thor's hammer in Avengers: Age of Ultron?
,
How did Tigress reach the panda village?,How did they find the location of Panda village?
,
Why do low production studios intentionally release similar films shortly after a big banner?,Why are two such similar movies being made at the same time?
,
"Who is the future ""us"" that Cooper mentioned while he was in the black hole?",How could the human race be saved in Interstellar?
,
Why did it take Thanos 3 years to get to the Space Stone?,Where was Thanos before the events of Avengers: Infinity War?
,
Why didn't obliviate spell work on wizards?,How did the Swooping Evil Venom infused rain affect the magical community?
,
What is it called when sound from next scene begins before the current scene is over?,Sound of a next scene starts one moment earlier than video
,
Spiderman: Far From Home - Disney or Sony Rights?,What are the details of the recent agreement between Sony Pictures and Marvel Studios?
,
Why the soliders in Aquaman can't live without water but others can?,Why do some Atlanteans need water breathing suits?
,
When did credits start to show economical impact of the movie in the end credits?,What is the first movie to show this hard work message at the very end?
,
How did Gwen come to this universe even before the portal was open?,How was Gwen pulled into Miles's universe?
,
"What is the MCU film ""Critical Path"" to get proper backstory before watching Avengers: Endgame?",Is there any particular order in which one should watch the movies of Marvel Cinematic Universe? Why?
,
How did the Tesseract end up with Mar Vell?,How did S.H.I.E.L.D lose ownership of this item?
,
How is Dru-Zod / General Zod supposed to be born?,How is Dru-Zod/General Zod still alive after this character died?
,
How was this character able to catch Mjolnir and Stormbreaker?,Does Thanos have any inherent superpowers without the Infinity Stones
,
Messing with time in the Avengers: Endgame climax,Is there a grandfather paradox in Endgame?
,
Does the Stormbreaker follow the same worthy rules as Mjolnir,How did Groot manage to raise the axe of Thor when even Hulk failed?
,
How does Thanos do this using Nebula's beacon?,How did Nebula bring Thanos with her?
,
How does this character return this stone in its original form?,"How could they return the Infinity Stones in their ""raw"" form?"
,
"Why do the Avengers struggle so much against Thanos in ""Endgame"", when they managed to resist him in ""Infinity War"" in a supposedly worse situation?",What makes Thanos the most powerful being in the universe?
,
Why wasn't Tony Stark more affected by this?,Is Iron Man stronger than the Hulk?
,
What creature does this skeleton belong to?,What do we know about the creature whose skeleton we see in Star Wars?
,
Can the Night King get past the wall without a dragon?,Why worry about the Night King if they have the wall?
,
Why did Daenerys do this even after the bells were rung?,Why were the bells ignored in S8E5?
,
Which story is real in The Life of Pi?,"Which story is true at end of the movie ""Life of Pi""?"
,
What is true meaning of the White Walkers' terrifying Spiral Symbol in GOT,What is the symbolic significance of the Night King's message?
,
Did anyone call Carol Danvers Captain Marvel?,Is Carol Danvers called Captain Marvel in universe
,
What is the meaning of the ending of Goodfellas?,Why is Tommy shooting at the fourth wall?
,
Why is Matthew Modine first in the credits of Stranger Things S02 EP09?,What rules govern how TV show opening credits are structured?
,
Why does Walt split his $3 million with Jesse?,Why did Walt give up 1.5 million to work with Jesse?
,
How is Captain America able to use Mjolnir to command lightning?,How did Captain America use this power?
,
Is it possible that Arthur Fleck is not the real Joker?,How does the Joker (2019) fit into the established Batman timeline?
,
"Why does Wonder Woman say ""goodbye brother"" to Ares?",Was Hippolyta telling the truth about Diana's origin?
,
"Could the Bruce Lee scene in ""Once Upon a Time in Hollywood"" have been imagined?",Is this scene true or a daydream?
,
What about the drink order alerted Major Hellstrom?,How could Lt. Hicox fluently speak German and then give himself away by using the wrong gesture?
,
"What gift does Clarke give his boss, Mr. Shirley in Nation Lampoons Christmas Vacation?",Why are all of Mr. Shirley's gifts the same?
,
In the movie prisoners what does Alex mean he never came,"Who is Alex Jones referring to when he says: ""I waited but he never came""?"
,
Why does Dr. Banks not know about having called the General?,Would the 18 months later conversation between Louise and General Shang still be the same after the events of the movie?
,
Why couldn't Cobb show the totem to Mal?,Why didn't Mal use her totem (spinning top) before she actually died?
,
What is that ritual performed by the two Mexican assassins?,Why were the villagers and the axe-wielding hitman brothers crawling towards a shrine?
,
What is that ritual performed by the two Mexican assassins?,Why were the villagers and the axe-wielding hitman brothers crawling towards a shrine?
,
Why did the doctor make a cut on sick Marianna's wrist?,What is the name of this medical practice?
,
What is Penny's full name before marriage?,What is Penny's last name in Big Bang Theory?
,
What type of revolver gun used by the Joker that shoots more than 6 bullets?,How does Arthur manage to fire eight bullets?
,
How can neutral atoms have exactly zero electric field when there is a difference in the positions of the charges?,Is there an electric field around neutral atoms?
,
What happens when the centripetal force is equal and opposite to the centrifugal force?,Do centripetal and reactive centrifugal forces cancel each other out?
,
What is the mechanism for atoms absorbing light?,How does an electron absorb or emit light?
,
Is there a 'mechanical' explanation for the right-hand rule?,"In electromagnetism, why does nature prefer the right-hand rule over the left-hand rule?"
,
why is exchange force inversely proportional to square of distance?,Why are so many forces explainable using inverse squares when space is three dimensional?
,
What is the essence of Lagrangian/Hamiltonian mechanics?,What exactly are Hamiltonian Mechanics (and Lagrangian mechanics)
,
Will an off-center force cause an object to rotate if there is no resistance?,Force applied off center on an object
,
Momentum measurement of a particle in an infinite well,"How can I solve this quantum mechanical ""paradox""?"
,
Does Lorentz Invariance depend on the continuity of spacetime?,Discreteness of Spacetime and Violation of Lorentz symmetry
,
How does relativity holds for universal speed limit?,"Why and how is the speed of light in vacuum constant, i.e., independent of reference frame?"
,
Is it possible for electromagnetic waves in the Extreme Low Frequency range to carry HQ video and audio signals?,What is the equation relating maximum data transfer rates for a given EM bandwidth?
,
What does it mean that each conductor is characterized by a constant value of potential?,Why is the conductor an equipotential surface in electrostatics?
,
How did the big bang create space and time?,Did spacetime start with the Big bang?
,
What are the reasons for making the mole a base SI unit?,Why is the mol a fundamental physical quantity?
,
Transformation connecting two representations - Quantum mechanics,How does the momentum operator act on state kets?
,
what is the value of the acceleration of a bar magnet falling through a coil?,The fate of a bar magnet released in an infinitely long copper tube
,
Why should an action in SR be a lorentz scalar?,Does action really have to be Lorentz-invariant in SR?
,
Why my touchscreen doesn't respond to a pencil?,What physical properties of materials trigger the capacitive touch screen?
,
Why is the mol a fundamental physical quantity?,"Why is the mole/""amount of substance"" a dimensional quantity?"
,
How close do two objects have to be to considered 'in contact'?,"What does it mean for two objects to ""touch""?"
,
Light is a high frequency electromagnetic wave. Can an LC oscillation circuit emit visible light?,Can an LC oscillator be used to generate visible light?
,
Is Kirchoff's Voltage law valid in inductive circuits?,Application of Kirchhoff's laws in circuits with inductors
,
"""Before"" the Big Bang was the Universe really compressed into a mathematical point?",Did the Big Bang happen at a point?
,
Why can we multiply different units but not add them?,"Why can we only add or subtract things of the same dimension (meters/second, newtons, etc)?"
,
Is there any chance that the EM drive thrust could be caused by quantum tunnelling?,What are the proposed theoretical explanations for the EmDrive?
,
What are the evidences of the big bang theory?,"What has been proved about the big bang, and what has not?"
,
What is the result that that differs by many orders of magnitude between QM and GR?,A list of inconveniences between quantum mechanics and (general) relativity?
,
Can superstring theories predict our 4 dimensions?,Is 3+1 spacetime as privileged as is claimed?
,
What is a formula for calculate muscle strength for the size?,"Why are smaller animals stronger than larger ones, when considered relative to their body weight?"
,
Can someone put entanglement in laymens terms?,Quantum Entanglement - What's the big deal?
,
"If the Earth would change into a ball of water, how wil its form develop, considering only the Sun's and Moon's influence?",What happens to the water on the surface of the Earth if the Earth is not rotating about its axis in the Earth-Moon system?
,
Which fundamental force acts while pushing a book on the table?,"What does it mean for two objects to ""touch""?"
,
Derivative of $T^{\mu \nu}_{\mathrm{mat}}$ in terms of $F^{\mu \nu}$ and $j^\nu$,Show that $\partial_\nu T^{\mu\nu} = - j_\nu F^{\mu\nu}$
,
Acceleration of a particle at the speed of light,What happens when a photon hits a mirror?
,
Electrostatic force between 2 shells. How to calculate it?,What's the exact gravitational force between spherically symmetric masses?
,
Why are all light bulbs in a series circuit equally bright?,Why must identical lightbulbs in series have identical voltage drops?
,
Link between wave functions $\psi$ and state vectors $|\psi \rangle$ in quantum mechanics?,"In quantum mechanics, is $|\psi\rangle$ equal to $\psi(x)$?"
,
How does a temperature change affect the pitch of the fundamental frequency produced by vibrating string?,How does temperature affect the frequency produced by a fixed vibrating string
,
What happens when the source of light and distance between the slits is changed in Young's Double slit experiment,Relationship between the the slit width $w$ and source distance $d$
,
Why is a quantum state described by a complex vector in the Hilbert space?,About the complex nature of the wave function?
,
"What is the temperature of the black night sky, outside the atmosphere?",What is the temperature of the clear night sky from the surface of Earth?
,
How can you tell if a given reference frame is inertial?,What determines which frames are inertial frames?
,
Why can't quantum mechanics and general relativity be unified?,A list of inconveniences between quantum mechanics and (general) relativity?
,
What will happen to the entropy in a universe made out of antimatter?,Does anti-matter increase or decrease in entropy over time?
,
"What is time? Does it flow linearly? If so, how are we sure?","What is time, does it flow, and if so what defines its direction?"
,
Will a change in reference frame produce light?,EM wave generation from different frames of reference
,
"Virtual particles, what do we mean by that?",Are virtual particles only a fictive tool in equations?
,
What happens after the light from the sun has travelled its entirety?,Do individual rays of light lose energy via the inverse square law?
,
Why does an accelerated charged particle emit electromagnetic waves?,How and why do accelerating charges radiate electromagnetic radiation?
,
Quantum Harmonic Oscillator: is it impossible that the particle is at certain points?,Is there actually a 0 probability of finding an electron in an orbital node?
,
How can black hole get mass if nothing can pass its event horizon?,How can anything ever fall into a black hole as seen from an outside observer?
,
What happens if you dump antimatter into a black hole?,What happens when anti-matter falls into a black hole?
,
How big would the moon appear with no atmosphere?,"Why does the moon appear bigger close to the horizon, rising or setting?"
,
Is space itself expanding or is it just momentum from the Big Bang carrying things apart?,Did the Big Bang happen at a point?
,
"If a photon doesn't experience time, how can it have a frequency?",How can a photon oscillate when it experiences no time?
,
"Nuclear Energy is measured in MeV, why not in Joules?",Why do we use the electron volt?
,
application of Ampere's circuital law for finite thin straight current carrying conductor,Ampere's circuital law for finite current carrying wire
,
"Distinguishing monochromatic light from light of a mixture of wavelengths, both of same colour",Why can we distinguish different pitches in a chord but not different hues of light?
,
How do we know quantum entanglement really happens?,How do we know that entanglement allows measurement to instantly change the other particle's state?
,
How is the work done to push a planet over 1m with 1N the same as pushing a feather over 1m with 1N?,Why does the amount of energy transferred depend on distance rather than time?
,
Do we have any idea why Planck's constant has the value it has?,Why do universal constants have the values they do?
,
Expansion in $\epsilon$ and $v^2$ dependence of the Lagrangian - Landau & Lifshitz's Mechanics,Deriving the Lagrangian for a free particle
,
Why does sound not move through a wall?,Why is sound reflected and not transmitted through a wall?
,
What is the (triplet) eigenstate for two electrons?,Ground state of two electrons in one dimensional S.H.O
,
Would a black hole evaporate before reaching the event horizon?,Does any particle ever reach any singularity inside the black hole?
,
How does quantum foam at small distance scales conflict with general relativity?,What are the Conflicting Predictions of General Relativity & Quantum Mechanics?
,
Kinetic energy of disk rotating around axis parallel to the one through its center,Kinetic energy of an object rotating about an axis not through the center of mass
,
What causes the 'backspin' while sliding a pencil along a table?,Why does a ping pong ball change direction when I spin it on a table?
,
Why are second order PDEs so ubiquitous in physics?,Why are differential equations for fields in physics of order two?
,
Would time exist in a universe with only one elementary particle in it?,"In a very small static universe with only a particle, does it make sense to talk about time?"
,
How is the age of the universe theorized?,How has the age of the Universe been derived from the observations made by the Planck mission?
,
On what kind groups of Lie groups are Yang-Mills theories based?,Why is the Yang-Mills gauge group assumed compact and semi-simple?
,
How do electric field lines form only open loops?,Why can't electrostatic field lines form closed loops?
,
How Einstein thought experiment clock works in quantum world?,Is the Planck length the smallest length that exists in the universe or is it the smallest length that can be observed?
,
"In the many worlds interpretation, where does the energy come from to create branching universes?",Wouldn't the thermodynamic cost of creating alternate universes make the Many Worlds interpretation implausible?
,
How can a railcar withstand high pressure but fail under a vacuum?,How can a vacuum implode a metal tank?
,
Can we think of the proof of local flatness theorem as the proof the the Einstein's Equivalence principle?,Curved space-time VS change of coordinates in Minkowski space
,
How does light re-accelerate after slowing down?,How does light speed up after coming out of a glass slab?
,
What creates the physical difference in ageing when travelling close to the speed of light?,What is the proper way to explain the twin paradox?
,
Would a mini-blackhole collision with Earth cause heating?,What would the effect be of a small black hole colliding with the earth?
,
How did Newton explain the effect we now call Newton's Rings?,What was Newton's own explanation of Newton's rings?
,
Can I determine the potential term in the Schrödinger equation based on the eigenvalues?,"In quantum mechanics, given certain energy spectrum can one generate the corresponding potential?"
,
"If extra dimensions are out there, why don't/can't we see them?",Extra Dimensions (in String Theory) - What does it mean?
,
In layman terms: Why can't Quantum Entanglement be used to achieve FTL Communication?,Quantum entanglement as practical method of superluminal communication
,
Why is gravitational potential energy shared between two particles?,"Kinetic energy of the object, but Potential energy of the system: Why is it so?"
,
"Classically, why is the gyromagnetic ratio always $q/2m$?",Relation between magnetic moment and angular momentum -- classic theory
,
"When light is moving from a less dense medium to a more dense medium, does the reflected ray ever have a higher intensity than the refracted ray?",Relation between intensity of light and refractive index
,
What is the meaning of non-integer powers of physical units in electrodynamics?,What does a unit like $C^{1/5}$ or $kg^{1/2}$ physically mean?
,
"Will the volt, ampere, ohm or other electrical units change on May 20th, 2019?","What are the proposed realizations in the New SI for the kilogram, ampere, kelvin and mole?"
,
Can you provide any examples of non-conservation of energy in any GR or other scenario?,Is the law of conservation of energy still valid?
,
Normal ordering of operators: Commutator or no commutator,Normal ordering of the commutator between annihilation and creation operator
,
Can we feel weightless if Earth's angular velocity is big enough?,How fast would the Earth need to spin for us to feel weightless?
,
Why are gravitons needed to explain gravitational attraction in quantum gravity?,"Nature of gravity: gravitons, curvature of space-time or both?"
,
Can we see a real image with naked eyes?,How does the eye perceive a real image?
,
Can a human sized object vibrate so fast it appears invisible to the human eye?,Can a human size object move so fast that it ceases to be observable?
,
Continuous Lorentz Transformation for time-like and space-like points,A question about causality and Quantum Field Theory from improper Lorentz transformation
,
Why do all fluid particles crossing a point in a steadily flowing fluid have to follow the same path?,Can two streamlines in a fluid be tangential to each other not crossing each other?
,
Deriving Potential Energy Density for Longitudinally Vibrating String,Potential energy of an infinitesimal length of elastic rod
,
Velocity of a falling body as a function of time AND mass,Why do two bodies of different masses fall at the same rate (in the absence of air resistance)?
,
The Many Worlds Interpretation and the Double Slit Experiment,What is the explanation for the interference patterns in MWI?
,
Why is linear movement relative but rotation is absolute?,What is the difference between translation and rotation?
,
"If an object with more mass experiences a greater gravitational force, why don't more massive objects fall faster?",Why do two bodies of different masses fall at the same rate (in the absence of air resistance)?
,
Solution for inverse square potential in $d=3$ spatial dimensions in quantum mechanics,Radial Schrodinger equation with inverse power law potential
,
Why doesn't the equipartion theorem apply for a gas of diatomic molecules?,"In counting degrees of freedom of a linear molecule, why is rotation about the axis not counted?"
,
Time needed for a meteorite to reach the Earth surface,The Time That 2 Masses Will Collide Due To Newtonian Gravity
,
"Can the heat given to a thermodynamic system decrease the temperature of the system,I.e. specific heat capacity can be negative",Are there any known negative heat capacities?
,
Where did the idea that there *might* be magnetic monopoles come from?,Why do physicists believe that there exist magnetic monopoles?
,
"If two equal but opposite pulses in a rope coincide, where does the kinetic go?",Why do travelling waves continue after amplitude sum = 0?
,
Do Maxwell's equations predict light instantaneously reaches a point one light-year away from the source?,Deriving the speed of the propagation of a change in the Electromagnetic Field from Maxwell's Equations
,
Is a big object also not well localised according to quantum mechanics?,Did I get hit by a car this morning?
,
Why is it physically impossible to heat something higher than Planck's Temperature (absolute hot),Why is there no absolute maximum temperature?
,
How does sound change high in atmosphere?,What is the relation of sound propagation to air pressure?
,
Are there membrane theories beyond string theory?,"Why one-dimensional strings, but not higher-dimensional shells/membranes?"
,
